project,timestamp,open_issues,open_pull_requests,closed_issues,merged_pull_requests
pydata/xarray,1610613120,686,96,1873,1949
dask/dask,1610613120,637,73,2790,3163
dask/distributed,1610613120,596,109,1255,2172
numpy/numpy,1610613120,1980,254,7240,7055
pandas-dev/pandas,1610613120,3439,138,16291,14603
jupyterlab/jupyterlab,1610613120,1694,63,3647,3810
matplotlib/matplotlib,1610613120,1363,309,5923,10094
dask/distributed,1610642220,597,109,1255,2172
pydata/xarray,1610642220,687,99,1873,1949
pandas-dev/pandas,1610642220,3439,132,16296,14610
matplotlib/matplotlib,1610642220,1364,311,5924,10094
dask/dask,1610642220,635,68,2793,3167
numpy/numpy,1610642220,1982,254,7239,7056
jupyterlab/jupyterlab,1610642220,1694,63,3647,3810
numpy/numpy,1610671680,1982,254,7240,7057
dask/distributed,1610671680,598,109,1255,2172
matplotlib/matplotlib,1610671680,1366,308,5924,10098
dask/dask,1610671680,634,69,2794,3167
jupyterlab/jupyterlab,1610671680,1694,62,3650,3813
pydata/xarray,1610671680,687,99,1874,1950
pandas-dev/pandas,1610671680,3439,128,16300,14617
dask/distributed,1610699340,598,109,1255,2172
pydata/xarray,1610699340,687,99,1874,1950
jupyterlab/jupyterlab,1610699340,1693,62,3651,3813
matplotlib/matplotlib,1610699340,1366,307,5924,10099
pandas-dev/pandas,1610699340,3441,130,16300,14617
numpy/numpy,1610699340,1982,254,7240,7057
dask/dask,1610699340,635,69,2794,3167
pydata/xarray,1610728560,687,99,1875,1950
dask/distributed,1610728560,598,110,1255,2172
pandas-dev/pandas,1610728560,3441,128,16301,14622
matplotlib/matplotlib,1610728560,1366,309,5925,10099
numpy/numpy,1610728560,1984,254,7240,7057
dask/dask,1610728560,636,70,2794,3169
jupyterlab/jupyterlab,1610728560,1695,62,3651,3813
numpy/numpy,1610758260,1985,256,7241,7057
pydata/xarray,1610758260,685,97,1877,1952
dask/distributed,1610758260,598,111,1255,2172
dask/dask,1610758260,634,67,2796,3172
matplotlib/matplotlib,1610758260,1365,308,5926,10101
pandas-dev/pandas,1610758260,3442,134,16303,14622
jupyterlab/jupyterlab,1610758260,1697,62,3651,3813
matplotlib/matplotlib,1610785740,1365,308,5926,10101
jupyterlab/jupyterlab,1610785740,1697,64,3652,3813
numpy/numpy,1610785740,1985,255,7241,7058
dask/dask,1610785740,634,67,2796,3172
pydata/xarray,1610785740,685,97,1877,1952
pandas-dev/pandas,1610785740,3440,131,16307,14630
dask/distributed,1610785740,598,111,1255,2172
pandas-dev/pandas,1610814840,3441,128,16307,14636
dask/dask,1610814840,635,67,2796,3172
dask/distributed,1610814840,598,111,1255,2172
pydata/xarray,1610814840,686,98,1877,1952
numpy/numpy,1610814840,1985,255,7241,7058
jupyterlab/jupyterlab,1610814840,1697,64,3652,3813
matplotlib/matplotlib,1610814840,1365,308,5926,10102
jupyterlab/jupyterlab,1610844480,1697,64,3652,3813
dask/distributed,1610844480,598,111,1255,2172
pandas-dev/pandas,1610844480,3442,134,16308,14636
matplotlib/matplotlib,1610844480,1364,303,5927,10105
pydata/xarray,1610844480,686,98,1877,1952
numpy/numpy,1610844480,1986,256,7241,7058
dask/dask,1610844480,635,68,2796,3172
pandas-dev/pandas,1610872140,3442,137,16308,14636
dask/dask,1610872140,636,68,2796,3172
numpy/numpy,1610872140,1986,256,7241,7058
dask/distributed,1610872140,598,111,1255,2172
pydata/xarray,1610872140,686,98,1877,1952
matplotlib/matplotlib,1610872140,1364,303,5927,10105
jupyterlab/jupyterlab,1610872140,1697,64,3652,3813
pandas-dev/pandas,1610901240,3437,139,16317,14640
matplotlib/matplotlib,1610901240,1365,303,5927,10105
jupyterlab/jupyterlab,1610901240,1697,67,3652,3813
pydata/xarray,1610901240,686,100,1877,1952
numpy/numpy,1610901240,1986,256,7241,7058
dask/distributed,1610901240,598,111,1255,2172
dask/dask,1610901240,637,68,2796,3172
matplotlib/matplotlib,1610930820,1365,302,5931,10106
dask/distributed,1610930820,598,114,1255,2172
pandas-dev/pandas,1610930820,3439,144,16317,14645
dask/dask,1610930820,637,68,2797,3172
jupyterlab/jupyterlab,1610930820,1697,67,3652,3813
numpy/numpy,1610930820,1987,258,7241,7058
pydata/xarray,1610930820,686,100,1877,1952
jupyterlab/jupyterlab,1610958720,1697,67,3652,3813
dask/dask,1610958720,637,68,2797,3172
pandas-dev/pandas,1610958720,3439,144,16317,14645
dask/distributed,1610958720,598,115,1255,2172
numpy/numpy,1610958720,1986,257,7242,7060
matplotlib/matplotlib,1610958720,1364,304,5932,10107
pydata/xarray,1610958720,688,100,1877,1952
matplotlib/matplotlib,1610987820,1364,305,5932,10108
dask/dask,1610987820,637,68,2797,3172
pandas-dev/pandas,1610987820,3442,144,16318,14650
numpy/numpy,1610987820,1986,259,7242,7060
dask/distributed,1610987820,598,115,1255,2172
pydata/xarray,1610987820,688,100,1877,1953
jupyterlab/jupyterlab,1610987820,1700,68,3652,3813
pandas-dev/pandas,1611017460,3443,148,16320,14651
pydata/xarray,1611017460,688,99,1878,1954
matplotlib/matplotlib,1611017460,1362,302,5934,10113
dask/dask,1611017460,638,67,2797,3173
dask/distributed,1611017460,599,110,1255,2176
jupyterlab/jupyterlab,1611017460,1701,68,3652,3813
numpy/numpy,1611017460,1988,260,7242,7060
numpy/numpy,1611045180,1988,259,7242,7061
dask/dask,1611045180,638,68,2797,3173
jupyterlab/jupyterlab,1611045180,1702,67,3652,3814
matplotlib/matplotlib,1611045180,1362,301,5934,10113
dask/distributed,1611045180,600,108,1255,2176
pandas-dev/pandas,1611045180,3444,150,16320,14652
pydata/xarray,1611045180,688,99,1878,1954
matplotlib/matplotlib,1611074160,1361,301,5935,10114
jupyterlab/jupyterlab,1611074160,1703,64,3654,3818
pydata/xarray,1611074160,686,98,1881,1955
dask/dask,1611074160,639,70,2797,3173
numpy/numpy,1611074160,1987,258,7245,7064
dask/distributed,1611074160,601,110,1255,2176
pandas-dev/pandas,1611074160,3440,149,16324,14658
pandas-dev/pandas,1611103920,3439,146,16329,14668
numpy/numpy,1611103920,1985,254,7247,7069
dask/distributed,1611103920,603,110,1255,2176
matplotlib/matplotlib,1611103920,1360,301,5937,10114
pydata/xarray,1611103920,687,100,1881,1955
jupyterlab/jupyterlab,1611103920,1701,65,3656,3818
dask/dask,1611103920,639,70,2797,3173
jupyterlab/jupyterlab,1611131820,1701,65,3657,3818
pandas-dev/pandas,1611131820,3438,145,16331,14672
matplotlib/matplotlib,1611131820,1360,300,5937,10115
dask/dask,1611131820,639,70,2797,3173
numpy/numpy,1611131820,1986,254,7247,7069
dask/distributed,1611131820,603,110,1255,2176
pydata/xarray,1611131820,689,100,1881,1956
numpy/numpy,1611161040,1986,255,7247,7069
matplotlib/matplotlib,1611161040,1361,302,5937,10115
dask/distributed,1611161040,603,109,1256,2177
pandas-dev/pandas,1611161040,3443,148,16331,14676
jupyterlab/jupyterlab,1611161040,1698,65,3662,3818
pydata/xarray,1611161040,689,100,1881,1956
dask/dask,1611161040,640,70,2797,3173
dask/distributed,1611190260,603,109,1256,2178
numpy/numpy,1611190260,1984,254,7250,7071
pydata/xarray,1611190260,688,100,1882,1956
dask/dask,1611190260,640,71,2798,3175
matplotlib/matplotlib,1611190260,1361,303,5937,10115
jupyterlab/jupyterlab,1611190260,1702,66,3661,3818
pandas-dev/pandas,1611190260,3441,146,16337,14683
pydata/xarray,1611218040,688,100,1882,1957
matplotlib/matplotlib,1611218040,1361,303,5937,10116
dask/distributed,1611218040,603,109,1256,2178
numpy/numpy,1611218040,1984,252,7251,7074
jupyterlab/jupyterlab,1611218040,1702,66,3662,3819
pandas-dev/pandas,1611218040,3441,149,16337,14683
dask/dask,1611218040,640,71,2798,3175
jupyterlab/jupyterlab,1611247020,1701,64,3665,3821
numpy/numpy,1611247020,1985,253,7251,7074
matplotlib/matplotlib,1611247020,1361,307,5938,10118
pydata/xarray,1611247020,689,101,1882,1957
dask/distributed,1611247020,603,109,1256,2178
dask/dask,1611247020,642,70,2800,3176
pandas-dev/pandas,1611247020,3436,144,16344,14693
pandas-dev/pandas,1611276600,3440,134,16347,14706
jupyterlab/jupyterlab,1611276600,1700,63,3666,3823
dask/distributed,1611276600,603,109,1257,2180
numpy/numpy,1611276600,1985,254,7251,7075
dask/dask,1611276600,641,67,2801,3178
pydata/xarray,1611276600,689,101,1882,1957
matplotlib/matplotlib,1611276600,1360,303,5939,10122
matplotlib/matplotlib,1611304380,1359,302,5940,10124
numpy/numpy,1611304380,1987,255,7251,7075
pandas-dev/pandas,1611304380,3440,138,16348,14706
dask/distributed,1611304380,603,108,1257,2181
jupyterlab/jupyterlab,1611304380,1703,63,3666,3823
pydata/xarray,1611304380,690,101,1882,1957
dask/dask,1611304380,641,67,2801,3178
pydata/xarray,1611333420,690,101,1882,1957
matplotlib/matplotlib,1611333420,1361,299,5940,10124
pandas-dev/pandas,1611333420,3443,135,16350,14709
numpy/numpy,1611333420,1988,256,7251,7075
jupyterlab/jupyterlab,1611333420,1704,64,3666,3823
dask/dask,1611333420,643,68,2801,3178
dask/distributed,1611333420,603,107,1257,2181
jupyterlab/jupyterlab,1611363000,1705,67,3668,3823
dask/distributed,1611363000,603,108,1257,2183
matplotlib/matplotlib,1611363000,1361,299,5940,10126
pandas-dev/pandas,1611363000,3439,135,16355,14712
pydata/xarray,1611363000,689,101,1883,1957
numpy/numpy,1611363000,1988,255,7251,7076
dask/dask,1611363000,643,67,2801,3180
pandas-dev/pandas,1611390660,3440,135,16355,14713
pydata/xarray,1611390660,689,101,1883,1957
dask/dask,1611390660,643,67,2801,3180
matplotlib/matplotlib,1611390660,1360,299,5941,10126
dask/distributed,1611390660,603,109,1257,2183
jupyterlab/jupyterlab,1611390660,1705,67,3668,3823
numpy/numpy,1611390660,1988,255,7251,7076
pandas-dev/pandas,1611419700,3442,135,16355,14713
numpy/numpy,1611419700,1988,256,7251,7076
matplotlib/matplotlib,1611419700,1360,300,5942,10126
pydata/xarray,1611419700,689,101,1883,1957
jupyterlab/jupyterlab,1611419700,1706,66,3668,3824
dask/dask,1611419700,643,68,2801,3180
dask/distributed,1611419700,603,108,1257,2184
pydata/xarray,1611449340,691,101,1883,1957
numpy/numpy,1611449340,1989,258,7251,7076
pandas-dev/pandas,1611449340,3443,150,16356,14713
jupyterlab/jupyterlab,1611449340,1707,66,3668,3824
matplotlib/matplotlib,1611449340,1361,302,5942,10127
dask/distributed,1611449340,604,109,1257,2184
dask/dask,1611449340,644,68,2801,3180
dask/distributed,1611477060,604,109,1257,2184
numpy/numpy,1611477060,1989,256,7251,7078
pandas-dev/pandas,1611477060,3445,151,16357,14713
